date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:57	115928/115928	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2017:45:55%20GMT	https://pepekingprawn.vip/	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/index.html	(from )
21:13:02	135/135	---MCZ	200	added ('OK')	text/plain	date:Thu,%2014%20Mar%202024%2020:12:57%20GMT	https://pepekingprawn.vip/robots.txt		(from )
21:13:02	2206/2206	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2014%20Mar%202024%2020:12:57%20GMT	https://pepekingprawn.vip/xmlrpc.php	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/xmlrpc.php	(from https://pepekingprawn.vip/)
21:13:03	825402/825402	---MCZ	200	added ('OK')	text/css	date:Sat,%2023%20Sep%202023%2009:29:00%20GMT	https://pepekingprawn.vip/wp-content/cache/min/1/wp-content/themes/Divi/style-static.min.css?ver=1695461340	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/wp-content/cache/min/1/wp-content/themes/Divi/style-static.min172e.css	(from https://pepekingprawn.vip/)
21:13:03	2298/2298	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2023%20Sep%202023%2009:28:48%20GMT	https://pepekingprawn.vip/feed/	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/feed/index.html	(from https://pepekingprawn.vip/)
21:13:03	363/363	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202023%2013:46:32%20GMT	https://pepekingprawn.vip/wp-content/themes/Divi-child99/style.css?ver=4.22.1	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/wp-content/themes/Divi-child99/style4bbe.css	(from https://pepekingprawn.vip/)
21:13:03	87553/87553	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2019:01:07%20GMT	https://pepekingprawn.vip/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/wp-includes/js/jquery/jquery.minf43b.js	(from https://pepekingprawn.vip/)
21:13:04	744/744	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2023%20Sep%202023%2009:28:48%20GMT	https://pepekingprawn.vip/comments/feed/	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/comments/feed/index.html	(from https://pepekingprawn.vip/)
21:13:04	735/735	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2023%20Sep%202023%2009:28:48%20GMT	https://pepekingprawn.vip/dog/feed/	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/dog/feed/index.html	(from https://pepekingprawn.vip/)
21:13:04	13577/13577	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2010:19:24%20GMT	https://pepekingprawn.vip/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/dragonix/Documents/testtstcopy/pepekingprawn.vip/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://pepekingprawn.vip/)
